STATEA,AGL1E001
01,0.4769
02,0.4174
04,0.4682
05,0.4708
06,0.488
08,0.459
09,0.4947
10,0.4488
11,0.5334
12,0.4852
13,0.4816
15,0.4369
16,0.4457
17,0.4789
18,0.4494
19,0.4422
20,0.4555
21,0.4741
22,0.4903
23,0.4515
24,0.4513
25,0.4826
26,0.4648
27,0.449
28,0.4799
29,0.4632
30,0.4587
31,0.442
32,0.4522
33,0.4344
34,0.4782
35,0.4754
36,0.5102
37,0.4748
38,0.4586
39,0.4641
40,0.4652
41,0.4612
42,0.468
44,0.4738
45,0.469
46,0.4438
47,0.4786
48,0.4803
49,0.4261
50,0.4435
51,0.4673
53,0.456
54,0.4621
55,0.4435
56,0.4279
72,0.5457
